Actual_Demand,Predicted_Demand
173.33333333333334,220.1508
198.66666666666666,244.17067
224.0,261.63208
249.33333333333331,280.8967
274.66666666666663,299.1119
300.0,316.6847
325.3333333333333,333.8765
350.66666666666663,350.93277
376.0,368.00497
401.3333333333333,385.16486
426.66666666666663,402.42902
451.99999999999994,419.7691
342.3333333333333,437.13586
232.66666666666666,358.3959
123.0,278.54514
196.0,195.64734
21.0,255.2646
19.333333333333332,117.89031
17.666666666666668,122.44261
16.0,121.21839
364.0,121.17567
234.0,380.37463
430.0,286.3558
753.0,427.52008
784.75,631.473
816.5,652.47107
848.2499999999999,670.6037
880.0,686.28033
911.75,703.5815
943.4999999999999,721.8558
975.2500000000001,740.67084
1007.0,759.591
747.0,778.3261
487.00000000000006,620.41394
70.0,452.18872
162.5,140.63536
255.0,232.87576
411.0,305.09506
230.49999999999997,423.0976
50.0,291.33734
417.0,153.21513
343.2,423.44855
269.4,369.06894
195.60000000000002,316.6914
121.80000000000001,257.69315
48.0,199.20552
300.0,140.75157
321.55555555555554,332.59192
343.1111111111111,348.48782
364.6666666666667,365.58676
386.22222222222223,379.06696
407.77777777777777,392.79016
429.33333333333337,406.8256
450.8888888888889,421.2207
472.44444444444446,435.87906
494.0,450.68542
468.0,465.53253
442.00000000000006,447.57632
415.99999999999994,430.03354
390.0,412.21722
364.0,394.66074
459.0,377.14404
469.00000000000006,445.3715
479.00000000000006,452.0494
488.99999999999994,459.70328
498.99999999999994,465.88913
508.99999999999994,472.10574
519.0,478.38565
274.0,484.7833
29.0,307.5294
92.88888888888889,120.47002
156.77777777777777,177.70897
220.66666666666663,228.56953
284.55555555555554,280.22562
348.44444444444446,328.30203
412.3333333333333,373.51273
476.22222222222223,416.62927
540.1111111111111,458.37524
604.0,499.247
802.0,539.51654
1000.0,661.947
806.0,775.57544
612.0,660.2083
418.0,537.0862
224.0,403.6458
29.999999999999996,264.97916
81.0,119.55641
132.0,170.66096
141.0,214.22794
150.0,224.92546
1657.0000000000002,232.86072
1561.0,997.0195
1465.0,1048.5939
1369.0,1023.2777
1273.0,966.7733
1177.0,913.6992
1081.0,861.83716
985.0,810.8983
889.0,759.62683
793.0,707.2076
697.0,653.041
601.0,596.7461
505.0,538.0959
725.3333333333334,476.9671
945.6666666666669,624.7423
1166.0,754.8457
1942.0,874.7598
741.0,1188.741
846.3333333333334,582.61206
951.6666666666667,692.9917
1057.0,743.12775
728.5,807.7789
400.0,609.6648
849.9999999999999,393.9453
508.99999999999994,692.86237
168.0,470.04175
308.1538461538462,232.8831
448.3076923076923,346.8148
588.4615384615385,445.06625
728.6153846153846,541.54297
868.7692307692308,630.0153
1008.923076923077,711.9757
1149.076923076923,788.6293
1289.2307692307693,860.9507
1429.3846153846155,929.5092
1569.5384615384617,994.57227
1709.6923076923078,1056.2246
1849.8461538461538,1114.4714
1990.0000000000002,1169.3066
180.0,1220.7451
1757.0,130.86472
1340.0,1012.6124
922.9999999999999,914.4567
506.00000000000006,732.5243
89.0,461.70096
867.9999999999999,160.67676
456.5,698.13135
45.0,438.41074
311.6666666666667,147.70547
578.3333333333334,358.7562
845.0000000000001,536.90515
477.0,702.91473
109.0,460.69406
70.5,187.44911
32.0,160.2431
54.2,129.06079
76.4,150.92896
98.6,170.55
120.8,189.0194
143.0,205.70743
165.2,221.1992
187.4,236.05945
209.60000000000002,250.73932
231.79999999999998,265.52292
253.99999999999997,280.54272
171.33333333333331,295.92346
88.66666666666666,232.37373
6.0,168.40083
12.999999999999998,102.8742
20.0,110.59055
25.0,117.65942
29.999999999999996,123.3833
903.9999999999999,128.10522
558.0,693.9094
433.99999999999994,505.52036
341.0,427.74435
248.0,353.9522
402.0,284.70224
359.8888888888889,398.96072
317.77777777777777,369.83328
275.66666666666663,343.10678
233.55555555555554,313.15045
191.44444444444443,282.98157
149.33333333333331,252.38702
107.22222222222217,221.32762
65.11111111111109,189.71266
23.0,157.48027
199.5,124.593605
376.0,261.84406
661.0,389.27335
655.0,578.3976
649.0,574.78705
21.0,568.92395
256.0,95.08725
232.0,294.25806
207.99999999999997,273.39648
29.999999999999996,263.04608
175.66666666666666,125.36503
321.3333333333333,244.4369
467.0,351.4306
356.0,454.77426
303.0,375.21936
250.0,335.7393
221.57142857142858,293.62872
193.14285714285714,271.94824
164.71428571428572,250.82127
136.28571428571428,230.26126
107.85714285714288,209.58069
79.42857142857144,188.58578
51.0,167.1664
80.0,145.28574
565.0,168.70113
543.0,510.20868
521.0,501.47726
498.99999999999994,487.9341
526.5,468.36282
554.0,484.82516
474.5,502.31223
395.0,447.9682
843.0,393.7332
563.0,682.03326
829.9999999999999,505.46835
1097.0,682.10034
748.3333333333333,828.88617
399.66666666666663,623.34796
51.0,391.33328
578.0,127.40263
548.1666666666666,518.40137
518.3333333333334,503.00922
488.50000000000006,492.06644
458.6666666666667,470.3628
428.8333333333333,448.66525
399.0,426.85706
37.0,405.2575
826.0,126.082504
560.0,662.5635
294.0,507.3819
28.0,329.2972
1298.0,120.39142
36.0,867.1936
246.0,93.5622
391.5,305.43515
537.0,396.83627
946.0,501.88763
829.2857142857143,750.5001
712.5714285714286,684.1414
595.8571428571429,612.20087
479.1428571428571,531.9864
362.42857142857144,451.95087
245.71428571428575,370.89606
129.0,288.24115
131.28571428571428,203.22658
133.57142857142858,210.55865
135.85714285714286,214.78395
138.14285714285714,218.69507
140.42857142857142,220.77762
142.71428571428572,221.58755
145.0,221.65472
78.0,221.43636
45.0,167.07108
118.80000000000001,139.92104
192.6,196.81622
266.4,252.42451
340.2,307.2936
414.00000000000006,360.08438
411.5,411.17645
409.0,408.015
872.0,405.27527
604.3333333333333,696.10785
336.66666666666663,531.47107
69.0,349.21375
207.49999999999997,143.81123
346.0,259.8065
393.125,363.68564
440.25,401.819
487.37500000000006,436.617
534.5,468.08145
581.625,498.29782
628.75,527.80676
675.875,556.95215
723.0,585.87775
160.0,614.61127
789.5,207.29468
1419.0,645.54395
600.0,973.394
595.0,514.5687
356.0,537.1565
436.75,359.88748
517.5,428.42667
598.25,484.8895
679.0,542.1206
360.5,595.0473
42.0,373.20334
143.75,132.64969
245.5,220.01225
347.25,296.7319
449.0,373.91095
41.0,445.64456
57.63636363636364,133.53244
74.27272727272728,154.33752
90.9090909090909,163.71062
107.54545454545455,178.30269
124.18181818181817,191.80846
140.8181818181818,204.42157
157.45454545454544,216.3118
174.0909090909091,227.79582
190.72727272727272,239.12704
207.36363636363637,250.53387
224.0,262.10315
29.0,273.8399
480.99999999999994,120.247314
414.99999999999994,451.51413
47.0,409.2365
367.0,132.05894
445.0,376.26633
492.5,429.93536
540.0,466.29233
534.25,497.70212
528.5,492.6424
522.75,488.10623
517.0,483.69037
25.999999999999996,479.97168
899.0,106.287254
802.5555555555555,695.53314
706.1111111111111,658.54535
609.6666666666667,609.87573
513.2222222222222,543.25507
416.77777777777777,477.38867
320.33333333333337,410.94412
223.8888888888889,343.76102
127.44444444444444,275.19363
31.0,204.72237
501.0,131.92908
241.0,475.70798
226.24999999999997,291.67523
211.50000000000003,287.50772
196.75,271.3314
182.0,259.03384
221.49999999999997,246.89125
261.0,276.2924
740.0,304.94678
37.0,621.2673
97.33333333333334,114.45547
157.66666666666669,181.41376
218.0,222.12737
116.5,271.40167
14.999999999999998,194.80243
67.28571428571428,116.12735
119.57142857142858,158.8167
171.85714285714286,199.32715
224.14285714285714,239.89496
276.42857142857144,278.64575
328.7142857142857,316.01468
381.0,352.4203
529.0,388.20584
415.49999999999994,488.63788
302.0,408.67612
29.0,327.38156
264.66666666666663,114.229095
500.3333333333333,302.57358
736.0,468.84354
151.0,624.7125
185.0,207.62607
352.0,248.26932
95.0,367.005
69.33333333333333,172.99043
43.666666666666664,160.57602
18.0,139.73717
181.0,121.340675
219.5,249.32355
258.0,277.7276
238.27272727272728,306.10492
218.5454545454546,288.83044
198.8181818181818,271.91556
179.0909090909091,255.18073
159.36363636363637,239.38902
139.63636363636363,224.28958
119.90909090909092,209.61082
100.18181818181819,195.09538
80.45454545454547,180.54892
60.72727272727275,165.8282
41.0,150.86
143.0,135.6076
244.99999999999997,215.64777
264.5,292.05176
284.0,306.3347
958.9999999999999,319.6212
711.3333333333334,737.3856
463.66666666666663,602.1317
216.00000000000003,440.80832
310.2,255.95152
404.4,331.54535
498.6,400.75894
592.8,470.37482
687.0,535.31976
765.1428571428571,596.235
843.2857142857142,643.9832
921.4285714285713,689.77576
999.5714285714284,733.9589
1077.7142857142858,776.9962
1155.857142857143,818.955
1234.0,859.83026
1089.75,899.57684
945.5,821.20404
801.25,740.67236
657.0,654.7978
512.75,566.4129
368.5,474.459
224.25,378.38242
80.0,277.60654
54.00000000000001,171.68036
299.66666666666663,157.60368
545.3333333333333,345.97684
791.0,514.86145
1280.0,668.9269
591.0,925.42505
554.0,518.05774
497.00000000000006,507.2564
328.0,460.28436
288.0,342.47318
248.0,319.5567
207.99999999999997,293.18637
168.0,267.376
128.0,239.8592
88.0,210.78845
48.0,180.34277
73.0,148.78554
368.0,168.35626
601.5,385.2169
835.0,542.1129
1340.0,686.31555
359.0,946.16077
256.0,339.30365
187.66666666666669,291.8029
119.33333333333334,234.2641
51.0,189.2961
78.0,142.61453
63.49999999999999,170.71194
49.0,162.06401
71.0,152.57489
159.5,169.63109
248.0,236.34625
342.0,300.31647
436.0,366.2152
530.0,429.60162
624.0,491.0186
718.0,550.72424
812.0,608.87225
905.9999999999999,665.46924
1000.0,720.44073
153.0,773.68353
1088.0,182.60994
582.0,791.7595
76.0,501.82703
881.0000000000001,150.26814
344.0,694.341
314.0,347.95682
284.0,352.68246
229.5,325.5081
175.0,287.247
600.0,247.30548
629.6666666666666,543.3594
659.3333333333334,563.83307
689.0,583.88654
